geoid,neighborhood_name,value,average_label,rank,variable,region_name,tract_name
42101032900,Mayfair-Holmesburg,42.53507778,Average,219,Ozone concentration,Lower Northeast (East),Mayfair-Holmesburg 7
42101033000,Mayfair-Holmesburg,41.78975523,Average,147,Ozone concentration,Lower Northeast (East),Mayfair-Holmesburg 8
42101033101,Mayfair-Holmesburg,41.20164737,Average,129,Ozone concentration,Lower Northeast (East),Mayfair-Holmesburg 9
42101033102,Mayfair-Holmesburg,42.65695065,Average,222,Ozone concentration,Lower Northeast (East),Mayfair-Holmesburg 10
42101033200,Mayfair-Holmesburg,38.64293173,Above Average,39,Ozone concentration,Lower Northeast (East),Mayfair-Holmesburg 11
42101033300,Mayfair-Holmesburg,38.23529184,Above Average,36,Ozone concentration,Lower Northeast (West),Mayfair-Holmesburg 12
42101033400,Rhawnhurst-Fox Chase,37.94375807,Above Average,18,Ozone concentration,Lower Northeast (West),Rhawnhurst-Fox Chase 1
42101033500,Rhawnhurst-Fox Chase,37.94375807,Above Average,18,Ozone concentration,Lower Northeast (West),Rhawnhurst-Fox Chase 2
42101033600,Rhawnhurst-Fox Chase,38.02720085,Above Average,33,Ozone concentration,Lower Northeast (West),Rhawnhurst-Fox Chase 3
42101033701,Rhawnhurst-Fox Chase,39.12755474,Above Average,43,Ozone concentration,Lower Northeast (West),Rhawnhurst-Fox Chase 4
42101033702,Rhawnhurst-Fox Chase,40.28020054,Above Average,69,Ozone concentration,Lower Northeast (West),Rhawnhurst-Fox Chase 5
42101033800,Rhawnhurst-Fox Chase,38.16907853,Above Average,34,Ozone concentration,Lower Northeast (West),Rhawnhurst-Fox Chase 6
42101033900,Rhawnhurst-Fox Chase,39.72769156,Above Average,61,Ozone concentration,Lower Northeast (West),Rhawnhurst-Fox Chase 7
42101034000,Rhawnhurst-Fox Chase,40.30146077,Above Average,70,Ozone concentration,Lower Northeast (West),Rhawnhurst-Fox Chase 8
42101034100,Rhawnhurst-Fox Chase,40.33572599,Above Average,73,Ozone concentration,Lower Northeast (West),Rhawnhurst-Fox Chase 9
42101034200,Rhawnhurst-Fox Chase,40.33572599,Above Average,73,Ozone concentration,Lower Northeast (West),Rhawnhurst-Fox Chase 10
42101034400,Bustleton,40.84861651,Average,119,Ozone concentration,Far Northeast,Bustleton 1
42101034501,Bustleton,44.01285574,Below Average,317,Ozone concentration,Far Northeast,Bustleton 2
42101034502,Bustleton,43.62187907,Below Average,301,Ozone concentration,Far Northeast,Bustleton 3
42101034600,Torresdale South-Pennypack Park,45.91611028,Below Average,361,Ozone concentration,Far Northeast,Torresdale South-Pennypack Park 1
42101034701,Torresdale South-Pennypack Park,44.19441894,Below Average,323,Ozone concentration,Far Northeast,Torresdale South-Pennypack Park 2
42101034702,Torresdale South-Pennypack Park,42.68036038,Average,226,Ozone concentration,Far Northeast,Torresdale South-Pennypack Park 3
42101034801,Torresdale South-Pennypack Park,42.65695065,Average,222,Ozone concentration,Far Northeast,Torresdale South-Pennypack Park 4
42101034802,Torresdale South-Pennypack Park,43.62909123,Below Average,302,Ozone concentration,Far Northeast,Torresdale South-Pennypack Park 5
42101034803,Torresdale South-Pennypack Park,42.90434718,Average,232,Ozone concentration,Far Northeast,Torresdale South-Pennypack Park 6
42101034900,Torresdale South-Pennypack Park,42.65695065,Average,222,Ozone concentration,Far Northeast,Torresdale South-Pennypack Park 7
42101035100,Torresdale South-Pennypack Park,43.04537922,Average,235,Ozone concentration,Far Northeast,Torresdale South-Pennypack Park 8
42101035200,Torresdale South-Pennypack Park,42.67777875,Average,225,Ozone concentration,Far Northeast,Torresdale South-Pennypack Park 9
42101035301,Torresdale North,44.63692009,Below Average,354,Ozone concentration,Far Northeast,Torresdale North 1
42101035302,Torresdale North,46.0408628,Below Average,362,Ozone concentration,Far Northeast,Torresdale North 2
42101035500,Bustleton,46.10234499,Below Average,364,Ozone concentration,Far Northeast,Bustleton 4
42101035601,Bustleton,43.91289502,Below Average,313,Ozone concentration,Far Northeast,Bustleton 5
42101035602,Bustleton,44.06721145,Below Average,320,Ozone concentration,Far Northeast,Bustleton 6
42101035701,Somerton,46.27465829,Below Average,371,Ozone concentration,Far Northeast,Somerton 1
42101035702,Somerton,45.62503844,Below Average,359,Ozone concentration,Far Northeast,Somerton 2
42101035800,Somerton,46.27465457,Below Average,370,Ozone concentration,Far Northeast,Somerton 3
42101035900,Somerton,46.27407715,Below Average,369,Ozone concentration,Far Northeast,Somerton 4
42101036000,Somerton,46.24413699,Below Average,367,Ozone concentration,Far Northeast,Somerton 5
42101036100,Torresdale North,46.18566483,Below Average,366,Ozone concentration,Far Northeast,Torresdale North 3
