geoid,neighborhood_name,value,average_label,rank,variable,region_name,tract_name
42101037900,Richmond-Bridesburg,8.446583748,Below Average,295,Particulate matter concentration,East,Richmond-Bridesburg 6
42101038000,Frankford,7.889368534,Above Average,71,Particulate matter concentration,Lower Northeast (East),Frankford 7
42101038100,Wissinoming-Tacony,7.450447559,Above Average,1,Particulate matter concentration,Lower Northeast (East),Wissinoming-Tacony 7
42101038200,Juniata Park-Harrowgate,8.636310577,Below Average,309,Particulate matter concentration,East,Juniata Park-Harrowgate 5
42101038300,Hunting Park-Fairhill,7.602502823,Above Average,5,Particulate matter concentration,East,Hunting Park-Fairhill 11
42101038400,Roxborough-Manayunk,8.163377762,Average,116,Particulate matter concentration,Northwest,Roxborough-Manayunk 13
42101038500,Chestnut Hill-West Mt. Airy,8.187309265,Average,119,Particulate matter concentration,Northwest,Chestnut Hill-West Mt. Airy 7
42101038600,Chestnut Hill-West Mt. Airy,8.270479202,Average,132,Particulate matter concentration,Northwest,Chestnut Hill-West Mt. Airy 8
42101038700,Chestnut Hill-West Mt. Airy,8.177774429,Average,118,Particulate matter concentration,Northwest,Chestnut Hill-West Mt. Airy 9
42101038800,Chestnut Hill-West Mt. Airy,8.287662506,Average,155,Particulate matter concentration,Northwest,Chestnut Hill-West Mt. Airy 10
42101038900,East Mt. Airy,8.287670135,Average,156,Particulate matter concentration,Northwest,East Mt. Airy 6
42101039000,Lawndale-Crescentville,7.858528614,Above Average,64,Particulate matter concentration,Lower Northeast (West),Lawndale-Crescentville 7
