geoid,neighborhood_name,value,average_label,rank,variable,region_name,tract_name
42101016702,Sharswood-Stanton,35.67178221788663,Below Average,310,Health and Wellness,Lower North,Sharswood-Stanton 8
42101016800,Strawberry Mansion,27.10830944155203,Below Average,350,Health and Wellness,Lower North,Strawberry Mansion 6
42101016901,Strawberry Mansion,35.22713238762425,Below Average,311,Health and Wellness,Lower North,Strawberry Mansion 7
42101016902,Strawberry Mansion,23.925041658583215,Below Average,363,Health and Wellness,Lower North,Strawberry Mansion 8
42101017000,Nicetown-Tioga,58.41868061520446,Above Average,87,Health and Wellness,Lower North,Nicetown-Tioga 1
42101017100,Nicetown-Tioga,38.42805029634309,Below Average,296,Health and Wellness,Lower North,Nicetown-Tioga 2
42101017201,Nicetown-Tioga,41.797648959879915,Average,266,Health and Wellness,Lower North,Nicetown-Tioga 3
42101017202,Nicetown-Tioga,23.15593882494508,Below Average,365,Health and Wellness,Lower North,Nicetown-Tioga 4
42101017300,Nicetown-Tioga,29.02947415302685,Below Average,340,Health and Wellness,Lower North,Nicetown-Tioga 5
42101017400,Hunting Park-Fairhill,24.30269244974207,Below Average,359,Health and Wellness,Lower North,Hunting Park-Fairhill 1
42101017500,Hunting Park-Fairhill,29.063366097812494,Below Average,339,Health and Wellness,East,Hunting Park-Fairhill 2
42101017601,Hunting Park-Fairhill,37.29893235801358,Below Average,301,Health and Wellness,East,Hunting Park-Fairhill 3
42101017602,Hunting Park-Fairhill,28.210361059015632,Below Average,344,Health and Wellness,East,Hunting Park-Fairhill 4
42101017701,Upper Kensington,38.58777134694065,Below Average,294,Health and Wellness,East,Upper Kensington 1
42101017702,Upper Kensington,30.4765225829189,Below Average,335,Health and Wellness,East,Upper Kensington 2
42101017800,Upper Kensington,37.27275013838035,Below Average,302,Health and Wellness,East,Upper Kensington 3
42101017900,Upper Kensington,43.558879939848254,Average,253,Health and Wellness,East,Upper Kensington 4
42101018001,Richmond-Bridesburg,53.145591151542234,Average,136,Health and Wellness,East,Richmond-Bridesburg 1
42101018002,Richmond-Bridesburg,46.34994952051464,Average,218,Health and Wellness,East,Richmond-Bridesburg 2
42101018300,Richmond-Bridesburg,51.046271399095616,Average,158,Health and Wellness,Lower Northeast (East),Richmond-Bridesburg 3
42101018400,Richmond-Bridesburg,52.87079421370527,Average,138,Health and Wellness,Lower Northeast (East),Richmond-Bridesburg 4
42101018800,Juniata Park-Harrowgate,39.202764224615294,Below Average,286,Health and Wellness,East,Juniata Park-Harrowgate 1
42101019000,Juniata Park-Harrowgate,54.52918306973459,Average,125,Health and Wellness,East,Juniata Park-Harrowgate 2
42101019100,Juniata Park-Harrowgate,53.729214382765385,Average,130,Health and Wellness,East,Juniata Park-Harrowgate 3
42101019200,Juniata Park-Harrowgate,43.110861518253394,Average,254,Health and Wellness,East,Juniata Park-Harrowgate 4
42101019501,Hunting Park-Fairhill,39.14080854474863,Below Average,287,Health and Wellness,East,Hunting Park-Fairhill 5
42101019502,Hunting Park-Fairhill,37.843318326711874,Below Average,299,Health and Wellness,East,Hunting Park-Fairhill 6
42101019700,Hunting Park-Fairhill,44.81149174325417,Average,235,Health and Wellness,East,Hunting Park-Fairhill 7
42101019800,Hunting Park-Fairhill,37.97170942025495,Below Average,298,Health and Wellness,East,Hunting Park-Fairhill 8
42101019900,Hunting Park-Fairhill,28.91784915005242,Below Average,342,Health and Wellness,East,Hunting Park-Fairhill 9
42101020000,Nicetown-Tioga,40.28430650400048,Average,278,Health and Wellness,Lower North,Nicetown-Tioga 6
42101020101,Nicetown-Tioga,28.691271254827637,Below Average,343,Health and Wellness,Lower North,Nicetown-Tioga 7
42101020102,Nicetown-Tioga,46.41148382713029,Average,217,Health and Wellness,Lower North,Nicetown-Tioga 8
42101020200,Nicetown-Tioga,24.226583961029576,Below Average,361,Health and Wellness,Lower North,Nicetown-Tioga 9
42101020300,Nicetown-Tioga,26.834989351794295,Below Average,351,Health and Wellness,East,Nicetown-Tioga 10
42101020400,Nicetown-Tioga,32.16812931871767,Below Average,331,Health and Wellness,East,Nicetown-Tioga 11
42101020500,Nicetown-Tioga,33.35417666810478,Below Average,320,Health and Wellness,Lower North,Nicetown-Tioga 12
42101020600,East Falls-Westside,64.05565990071179,Above Average,64,Health and Wellness,Northwest,East Falls-Westside 1
42101020700,East Falls-Westside,75.93433952706607,Above Average,24,Health and Wellness,Northwest,East Falls-Westside 2
42101020800,East Falls-Westside,71.58115240931002,Above Average,38,Health and Wellness,Northwest,East Falls-Westside 3
42101020900,Roxborough-Manayunk,75.90484336347563,Above Average,25,Health and Wellness,Northwest,Roxborough-Manayunk 1
42101021000,Roxborough-Manayunk,71.27667995165645,Above Average,39,Health and Wellness,Northwest,Roxborough-Manayunk 2
42101021100,Roxborough-Manayunk,63.83180089614253,Above Average,66,Health and Wellness,Northwest,Roxborough-Manayunk 3
42101021200,Roxborough-Manayunk,66.31108149995185,Above Average,59,Health and Wellness,Northwest,Roxborough-Manayunk 4
42101021300,Roxborough-Manayunk,69.90595383674797,Above Average,47,Health and Wellness,Northwest,Roxborough-Manayunk 5
42101021400,Roxborough-Manayunk,76.37621428525411,Above Average,20,Health and Wellness,Northwest,Roxborough-Manayunk 6
42101021500,Roxborough-Manayunk,75.44137643639947,Above Average,26,Health and Wellness,Northwest,Roxborough-Manayunk 7
42101021600,Roxborough-Manayunk,68.55865390412646,Above Average,53,Health and Wellness,Northwest,Roxborough-Manayunk 8
42101021700,Roxborough-Manayunk,55.81998416534296,Average,110,Health and Wellness,Northwest,Roxborough-Manayunk 9
42101021800,Roxborough-Manayunk,69.57404915259447,Above Average,48,Health and Wellness,Northwest,Roxborough-Manayunk 10
42101021900,Roxborough-Manayunk,53.67644770303197,Average,132,Health and Wellness,Northwest,Roxborough-Manayunk 11
42101022000,Roxborough-Manayunk,40.065027009371136,Below Average,281,Health and Wellness,Northwest,Roxborough-Manayunk 12
42101023100,Chestnut Hill-West Mt. Airy,56.680234799109954,Average,102,Health and Wellness,Northwest,Chestnut Hill-West Mt. Airy 1
42101023500,Chestnut Hill-West Mt. Airy,49.013256747628944,Average,180,Health and Wellness,Northwest,Chestnut Hill-West Mt. Airy 2
42101023600,Chestnut Hill-West Mt. Airy,50.19059185203649,Average,169,Health and Wellness,Northwest,Chestnut Hill-West Mt. Airy 3
42101023700,Chestnut Hill-West Mt. Airy,55.069631227033,Average,116,Health and Wellness,Northwest,Chestnut Hill-West Mt. Airy 4
42101023800,Germantown,52.162570632397845,Average,146,Health and Wellness,Northwest,Germantown 1
42101023900,Chestnut Hill-West Mt. Airy,48.55489861127263,Average,188,Health and Wellness,Northwest,Chestnut Hill-West Mt. Airy 5
42101024000,East Falls-Westside,62.438594218464765,Above Average,72,Health and Wellness,Northwest,East Falls-Westside 4
42101024100,Germantown,18.59029957155046,Below Average,371,Health and Wellness,Northwest,Germantown 2
42101024200,Germantown,47.312740815296976,Average,206,Health and Wellness,Northwest,Germantown 3
42101024300,East Falls-Westside,50.22965300539665,Average,168,Health and Wellness,Northwest,East Falls-Westside 5
42101024400,East Falls-Westside,42.93723880279776,Average,255,Health and Wellness,Northwest,East Falls-Westside 6
42101024500,Germantown,32.939951621911476,Below Average,322,Health and Wellness,Northwest,Germantown 4
42101024600,Germantown,24.240533119985635,Below Average,360,Health and Wellness,Northwest,Germantown 5
42101024700,Germantown,42.2894977776786,Average,261,Health and Wellness,Northwest,Germantown 6
42101024800,Germantown,41.885446101379955,Average,263,Health and Wellness,Northwest,Germantown 7
42101024900,Germantown,31.324044787023468,Below Average,334,Health and Wellness,Northwest,Germantown 8
42101025200,East Mt. Airy,32.69235157273018,Below Average,324,Health and Wellness,Northwest,East Mt. Airy 1
42101025300,East Mt. Airy,44.85960296497156,Average,233,Health and Wellness,Northwest,East Mt. Airy 2
42101025400,East Mt. Airy,47.72146162507065,Average,202,Health and Wellness,Northwest,East Mt. Airy 3
42101025500,East Mt. Airy,56.08764677291828,Average,107,Health and Wellness,Northwest,East Mt. Airy 4
42101025600,East Mt. Airy,56.374252328329256,Average,105,Health and Wellness,Northwest,East Mt. Airy 5
42101025700,Chestnut Hill-West Mt. Airy,63.24505648329307,Above Average,69,Health and Wellness,Northwest,Chestnut Hill-West Mt. Airy 6
42101025800,West Oak Lane-Cedarbrook,41.13716611256799,Average,273,Health and Wellness,Upper North,West Oak Lane-Cedarbrook 1
42101025900,West Oak Lane-Cedarbrook,49.602099391961026,Average,175,Health and Wellness,Upper North,West Oak Lane-Cedarbrook 2
42101026000,West Oak Lane-Cedarbrook,49.1804767113037,Average,177,Health and Wellness,Upper North,West Oak Lane-Cedarbrook 3
42101026100,West Oak Lane-Cedarbrook,37.26673613697327,Below Average,303,Health and Wellness,Upper North,West Oak Lane-Cedarbrook 4
42101026200,West Oak Lane-Cedarbrook,44.161311289170825,Average,245,Health and Wellness,Upper North,West Oak Lane-Cedarbrook 5
42101026301,West Oak Lane-Cedarbrook,44.53207323111067,Average,240,Health and Wellness,Upper North,West Oak Lane-Cedarbrook 6
42101026302,West Oak Lane-Cedarbrook,50.855991411384906,Average,160,Health and Wellness,Upper North,West Oak Lane-Cedarbrook 7
42101026400,West Oak Lane-Cedarbrook,48.13209523621682,Average,194,Health and Wellness,Upper North,West Oak Lane-Cedarbrook 8
42101026500,Ogontz,45.79887629700087,Average,225,Health and Wellness,Upper North,Ogontz 1
42101026600,West Oak Lane-Cedarbrook,41.417605653014235,Average,269,Health and Wellness,Upper North,West Oak Lane-Cedarbrook 9
42101026700,Ogontz,36.12192631164942,Below Average,308,Health and Wellness,Upper North,Ogontz 2
42101026800,Oak Lane-Fernrock,44.75760495463544,Average,238,Health and Wellness,Upper North,Oak Lane-Fernrock 1
42101026900,Oak Lane-Fernrock,38.942174687705325,Below Average,291,Health and Wellness,Upper North,Oak Lane-Fernrock 2
42101027000,Oak Lane-Fernrock,56.77155715815336,Average,101,Health and Wellness,Upper North,Oak Lane-Fernrock 3
42101027100,Oak Lane-Fernrock,58.379244410915625,Above Average,88,Health and Wellness,Upper North,Oak Lane-Fernrock 4
42101027200,Oak Lane-Fernrock,56.798276239372434,Average,99,Health and Wellness,Upper North,Oak Lane-Fernrock 5
42101027300,Olney-Feltonville,61.01407158747909,Above Average,73,Health and Wellness,Upper North,Olney-Feltonville 1
42101027401,Olney-Feltonville,60.06091884918737,Above Average,76,Health and Wellness,Upper North,Olney-Feltonville 2
42101027402,Olney-Feltonville,57.986161740068525,Above Average,92,Health and Wellness,Upper North,Olney-Feltonville 3
42101027500,Olney-Feltonville,58.528099263714985,Above Average,86,Health and Wellness,Upper North,Olney-Feltonville 4
42101027600,Oak Lane-Fernrock,46.106129191620674,Average,222,Health and Wellness,Upper North,Oak Lane-Fernrock 6
42101027700,Ogontz,28.01662141602749,Below Average,345,Health and Wellness,Upper North,Ogontz 3
42101027800,Ogontz,41.822675220955006,Average,265,Health and Wellness,Upper North,Ogontz 4
42101027901,Ogontz,45.94401957386633,Average,224,Health and Wellness,Upper North,Ogontz 5
42101027902,Ogontz,56.819926119577545,Average,98,Health and Wellness,Upper North,Ogontz 6
42101028000,Logan,34.66204387079574,Below Average,314,Health and Wellness,Upper North,Logan 1
42101028100,Logan,44.31997968766832,Average,242,Health and Wellness,Upper North,Logan 2
42101028200,Logan,47.88073656550912,Average,199,Health and Wellness,Upper North,Logan 3
42101028300,Logan,47.69210682062678,Average,203,Health and Wellness,Upper North,Logan 4
42101028400,Logan,41.45451261368064,Average,267,Health and Wellness,Upper North,Logan 5
42101028500,Olney-Feltonville,46.71464369170744,Average,215,Health and Wellness,Upper North,Olney-Feltonville 5
42101028600,Olney-Feltonville,50.72595222452291,Average,163,Health and Wellness,Upper North,Olney-Feltonville 6
42101028700,Olney-Feltonville,47.305629893211716,Average,207,Health and Wellness,Upper North,Olney-Feltonville 7
42101028800,Olney-Feltonville,46.93824310982093,Average,211,Health and Wellness,Upper North,Olney-Feltonville 8
42101028901,Hunting Park-Fairhill,50.934708729893224,Average,159,Health and Wellness,Upper North,Hunting Park-Fairhill 10
42101028902,Olney-Feltonville,54.59674207524179,Average,123,Health and Wellness,Upper North,Olney-Feltonville 9
42101029000,Olney-Feltonville,48.937754195438465,Average,183,Health and Wellness,Upper North,Olney-Feltonville 10
42101029100,Lawndale-Crescentville,46.44163377432368,Average,216,Health and Wellness,Lower Northeast (West),Lawndale-Crescentville 1
42101029200,Lawndale-Crescentville,59.1424837673105,Above Average,82,Health and Wellness,Lower Northeast (East),Lawndale-Crescentville 2
42101029300,Frankford,36.32477721562127,Below Average,306,Health and Wellness,Lower Northeast (East),Frankford 1
42101029400,Frankford,20.331025532323167,Below Average,369,Health and Wellness,Lower Northeast (East),Frankford 2
